Genus,Species,Season,n,meanFFD,daysperC,R2,F-val,p-val,event,
Bidens,frondosa,Annual,18,234.0556,-1.2098,0.013361,0.21668,0.64786,ffd,
Bidens,laevis,Annual,18,240.7778,-1.2357,0.0078347,0.12635,0.72689,ffd,
Boehmeria,cylindrica,Annual,20,207.45,-11.0326,0.16305,3.5066,0.077461,ffd,
Brasenia,schreberi,Annual,20,192.5,-2.3185,0.013448,0.24536,0.62636,ffd,
Calla,palustris,Annual,16,135.25,-5.7191,0.17895,3.0513,0.10256,ffd,
Calopogon,pulchellus,Annual,18,168.6111,-4.4126,0.082055,1.4302,0.24915,ffd,
Caltha,palustris,Annual,26,108.6154,-4.086,0.080417,2.0988,0.16036,ffd,
Campanula,aparinoides,Annual,17,190.4118,1.646,0.0073536,0.11112,0.74348,ffd,
Campanula,rapunculoides,Annual,14,192.5714,-1.7409,0.012338,0.1499,0.70541,ffd,
Campanula,rotundifolia,Annual,16,198.75,0.89084,0.0014651,0.020542,0.88808,ffd,
Cannabis,sativa,Annual,5,217.2,-5.3557,0.43124,2.2747,0.22862,ffd,
Capsella,bursa-pastoris,Annual,25,102.8,-0.007111,5.4303e-08,1.249e-06,0.99912,ffd,
Cardamine,bulbosa,Annual,15,137.6,-3.5193,0.12504,1.8579,0.19601,ffd,
Cardamine,diphylla,Annual,13,120.2308,-6.7623,0.10499,1.2904,0.28012,ffd,
Cardamine,pensylvanica,Annual,5,133.6,-0.58506,0.024913,0.076649,0.79987,ffd,
Cardamine,pratensis,Annual,16,127.3125,-9.2873,0.41149,9.7887,0.0073985,ffd,
Carum,carvi,Annual,15,156.8667,-3.4714,0.03833,0.51815,0.48437,ffd,
Cassia,fasciculata,Annual,10,216.6,1.3057,0.0047327,0.038042,0.85022,ffd,
Castilleja,coccinea,Annual,16,139.75,-0.32431,0.00036085,0.0050538,0.94433,ffd,
Caulophyllum,thalictroides,Annual,15,118.8667,-7.6188,0.24155,4.1403,0.062797,ffd,
Ceanothus,americanus,Annual,18,179.8889,-2.3794,0.071337,1.2291,0.28397,ffd,
Celastrus,scandens,Annual,20,156.7,-6.5191,0.32106,8.5119,0.0091908,ffd,
